resolution,stage,mean_ms,std_ms
128x128,Sobel Gradients,0.2385820000199601,0.04082768023174678
128x128,Gradient Difference,0.01745800001117459,0.01064648464383864
128x128,Tensor (Fixed),0.7761260000188486,0.10151507241575533
128x128,Tensor (Adaptive),14.176971999995658,0.6947547184311423
128x128,Eigendecomposition,0.7680319999690255,0.11953706444266292
128x128,Directional Filtering,30.477057999969475,2.034030681929425
128x128,Full Pipeline,48.34490600002027,2.679091654924786
256x256,Sobel Gradients,0.9989400000267779,0.100220844150152
256x256,Gradient Difference,0.05079400003523915,0.012080635882244324
256x256,Tensor (Fixed),4.290713999989748,0.5255028806436598
256x256,Tensor (Adaptive),56.932096000036836,4.422597813515309
256x256,Eigendecomposition,5.105765999951473,0.7050945039017663
256x256,Directional Filtering,122.0692940000481,15.579022769924478
256x256,Full Pipeline,204.1627740000058,18.096841671049024
512x512,Sobel Gradients,7.817230000036943,0.12662386864394437
512x512,Gradient Difference,1.1676139999963198,0.1646256711047344
512x512,Tensor (Fixed),24.361468000006425,1.5281459630145569
512x512,Tensor (Adaptive),328.09796799998367,17.23241093804534
512x512,Eigendecomposition,25.807233999994423,0.6860221526202926
512x512,Directional Filtering,578.971218000006,19.741620249662326
512x512,Full Pipeline,949.916264000012,29.090479915159808
1024x1024,Sobel Gradients,34.15265000002364,2.347335331345554
1024x1024,Gradient Difference,3.857140000009167,0.36331739893223164
1024x1024,Tensor (Fixed),107.12633200001619,5.949315058284551
1024x1024,Tensor (Adaptive),1427.640896000048,41.973697061038216
1024x1024,Eigendecomposition,105.62167800004318,7.564250872784287
1024x1024,Directional Filtering,2156.994782000001,270.1886172204927
1024x1024,Full Pipeline,2920.184527999991,58.45722074701445
