Method,FWHM,Contrast,Runtime_ms
Raw temporal diff,3,159.06947,0.01940300000114803
3x3 Structure tensor,7,79.23745,2.0297700000037366
Farneback Flow,11,16.52303,9.039891999996144
Fixed-sigma tensor,8,66.89451658948448,8.523718000001281
Adaptive tensor,4,78.4331400937896,71.475475000002
Adaptive+Directional,4,70.06669293061354,270.7084470000018
