method,fwhm_px,peak_lambda1
Fixed $\sigma=1.0$,5.70624777810491,2.3183614889879864
Fixed $\sigma=2.0$,6.544244063376027,2.0913414143278497
Fixed $\sigma=3.0$,8.174932362332669,1.7012000264255536
Adaptive,5.163408673721676,3.019087689371535
Directional,1.9844375608502673,3.448075988948115
